False Positive Rate,True Positive Rate,Model
0.46153846153846156,0.34782608695652173,XGBoost
0.4807692307692308,0.34782608695652173,XGBoost
0.4807692307692308,0.358695652173913,XGBoost
0.5384615384615384,0.358695652173913,XGBoost
0.5384615384615384,0.3804347826086957,XGBoost
0.6538461538461539,0.3804347826086957,XGBoost
0.6538461538461539,0.40217391304347827,XGBoost
0.6730769230769231,0.40217391304347827,XGBoost
0.6730769230769231,0.41304347826086957,XGBoost
0.6923076923076923,0.41304347826086957,XGBoost
0.6923076923076923,0.43478260869565216,XGBoost
0.7115384615384616,0.43478260869565216,XGBoost
0.7115384615384616,0.5217391304347826,XGBoost
0.7307692307692307,0.5217391304347826,XGBoost
0.7307692307692307,0.532608695652174,XGBoost
0.7692307692307693,0.532608695652174,XGBoost
0.7692307692307693,0.5434782608695652,XGBoost
0.7884615384615384,0.5434782608695652,XGBoost
0.7884615384615384,0.6739130434782609,XGBoost
0.8076923076923077,0.6739130434782609,XGBoost
0.8076923076923077,0.7065217391304348,XGBoost
0.8269230769230769,0.7065217391304348,XGBoost
0.8269230769230769,0.7391304347826086,XGBoost
0.8461538461538461,0.7391304347826086,XGBoost
0.8461538461538461,0.8152173913043478,XGBoost
0.8653846153846154,0.8152173913043478,XGBoost
0.8653846153846154,0.8260869565217391,XGBoost
0.8846153846153846,0.8260869565217391,XGBoost
0.8846153846153846,0.8804347826086957,XGBoost
0.9423076923076923,0.8804347826086957,XGBoost
0.9423076923076923,0.8913043478260869,XGBoost
0.9615384615384616,0.8913043478260869,XGBoost
0.9615384615384616,0.9565217391304348,XGBoost
0.9807692307692307,0.9565217391304348,XGBoost
0.9807692307692307,1.0,XGBoost
1.0,1.0,XGBoost
